待售房屋;室;厅;卫;面积;面积单位;朝向;楼层;建筑年份;小区名称;区;镇;道路;标签;总价;总价单位;均价;均价单位
多层电梯洋房 已空置 有钥匙 东边户大三房 房东急售;3室;2厅;2卫;122.3;㎡;南;高层(共7层);2016年建造;景山玫瑰园;高新区;马涧;华山路,近支英街;南,满五,房东急售,随时可看,;288;万;23543;元/㎡
不靠高架 好楼层 100平大三房 30万婚装自住 看房随时！;3室;2厅;1卫;100.2;㎡;南北;高层(共20层);2016年建造;金科天籁城(西区);高新区;马涧;太湖大道;南北,满五年,车位充足,;204;万;20370;元/㎡
（刚登记！价格可大刀）满五！颂车位！中上楼层！家电全留！;3室;2厅;1卫;94.2;㎡;南北;高层(共18层);2016年建造;柠檬花园;高新区;浒墅关;惠昌路,近文运路;南北,满五年,近地铁,车位充足,;177.88;万;18892;元/㎡
绿城全新精装修，三房两卫，业主资金周转，急售！看房方便;3室;2厅;2卫;109;㎡;南;高层(共23层);2018年建造;尼盛绿城春江明月;吴中;木渎;长江南路,近七子路;南,满二年,近地铁,车位充足,;215;万;19725;元/㎡
满五   南北通透 3室2厅  招商雍华府 精装修;3室;2厅;1卫;95.9;㎡;南北;低层(共27层);2015年建造;招商雍华府;吴中;木渎;金枫南路8号;南北,热门小区,近地铁,配套成熟,;200;万;20853;元/㎡
新上好房 房东换房急售 南北通透两房 带电梯 随时可看 可谈;2室;2厅;1卫;114.8;㎡;南北;中层(共20层);2008年建造;嘉业阳光假日;高新区;狮山;珠江路121号;南北,满五年,近地铁,;246;万;21433;元/㎡
满二   正南 3室2厅  正荣幸福城邦 高端装修;3室;2厅;2卫;112.3;㎡;南;高层(共33层);2016年建造;正荣幸福城邦;吴中;木渎;金枫南路699号;南,热门小区,近地铁,房东急售,;206;万;18339;元/㎡
S半岛清水湾花园 3室2厅 南北通透 豪华装修 房东急置换;3室;2厅;2卫;103.7;㎡;南北;中层(共11层);2010年建造;S半岛清水湾花园;吴中;长桥;澄湖西路111号;近地铁,南北通透,满五,;235;万;22666;元/㎡
阳光水韵 138平 3室2厅 精装修 电梯房 南北通透 看房;3室;2厅;2卫;138.8;㎡;南北;中层(共11层);2012年建造;阳光水韵;吴中;城南;东吴南路,近吴中大道;南北,满五年,近地铁,;315;万;22703;元/㎡
多层电梯洋房 已空置 有钥匙 东边户大三房 房东急售;3室;2厅;2卫;122.3;㎡;南;高层(共7层);2016年建造;景山玫瑰园;高新区;马涧;华山路,近支英街;南,满五,房东急售,随时可看,;288;万;23543;元/㎡
不靠高架 好楼层 100平大三房 30万婚装自住 看房随时！;3室;2厅;1卫;100.2;㎡;南北;高层(共20层);2016年建造;金科天籁城(西区);高新区;马涧;太湖大道;南北,满五年,车位充足,;204;万;20370;元/㎡
马浜花园 中户 业主急卖 价格可谈 欲购从速 看房方便;3室;2厅;2卫;92;㎡;南北;共5层;2003年建造;马浜花园(北区);高新区;枫桥;马运路;南北,满五年,近地铁,;225;万;24457;元/㎡
苏州乐园板块万科精装洋房 均价2.65万 精装三大件交付;3室;2厅;1卫;110;㎡;南;;;万科·云山著;虎丘;虎丘城区;凤凰峰路与旺家府街交叉口;大户型,低容积,;264;万;24000;元/㎡
（新上急售）（30万精装）车位软装！房东急售！捡漏！捡漏！;3室;2厅;1卫;94.2;㎡;南北;中层(共18层);2016年建造;柠檬花园;高新区;浒墅关;惠昌路,近文运路;南北,满二年,近地铁,车位充足,;180;万;19117;元/㎡
（新上急售，必看好房） 婚装30万车位，可等周期 三天必卖;3室;2厅;2卫;98;㎡;南北;中层(共11层);2020年建造;越秀江南悦府;高新区;浒墅关;闻鼓路,近惠昌路;南北,满二年,近地铁,次新房,;214.5;万;21888;元/㎡
（新上急售，必看好房）婚装30万带车位，可等周期 三天必卖;3室;2厅;1卫;93.2;㎡;南北;中层(共18层);2016年建造;柠檬花园;高新区;浒墅关;惠昌路,近文运路;南北,满五年,近地铁,车位充足,;177;万;19002;元/㎡
仁恒品质 你懂得 来电咨询家电折扣全都有;3室;2厅;2卫;110;㎡;南;;;仁恒 澜庭叙;虎丘;虎丘城区;腾讯（苏州）数字产业基地旁;大户型,低容积,;295;万;26819;元/㎡
中航樾玺3房2卫前排别墅，无剪刀墙，中间楼层，业主着急出售。;3室;2厅;2卫;97.5;㎡;南北;低层(共19层);2019年建造;中航樾玺公馆;高新区;科技城;天佑路;南北,满二年,配套成熟,车位充足,;218;万;22357;元/㎡
满五   南北通透 3室2厅  招商雍华府 精装修;3室;2厅;1卫;95.9;㎡;南北;低层(共27层);2015年建造;招商雍华府;吴中;木渎;金枫南路8号;南北,热门小区,近地铁,配套成熟,;200;万;20853;元/㎡
（30万精装）软装车位！急售！捡漏！价位可大谈！;3室;2厅;1卫;93.7;㎡;南北;中层(共18层);2017年建造;水语金成花园;高新区;浒墅关;惠昌路36号;南北,唯一住房,近地铁,次新房,;183;万;19533;元/㎡
（30万精装）软装车位！急售！捡漏！价位可大谈;3室;2厅;1卫;91.4;㎡;南北;中层(共22层);2016年建造;水语金成花园;高新区;浒墅关;惠昌路36号;南北,满五年,近地铁,;187;万;20469;元/㎡
