待售房屋;室;厅;卫;面积;面积单位;朝向;楼层;建筑年份;小区名称;区;镇;道路;标签;总价;总价单位;均价;均价单位
满二   南北通透 3室2厅  大成珺 精装修;3室;2厅;2卫;123.2;㎡;南北;低层(共26层);2015年建造;大成珺;吴中;木渎;金枫路980号;南北,满二年,近地铁,;180;万;14613;元/㎡
多层电梯洋房 已空置 有钥匙 东边户大三房 房东急售;3室;2厅;2卫;122.3;㎡;南;高层(共7层);2016年建造;景山玫瑰园;高新区;马涧;华山路,近支英街;南,满五,房东急售,随时可看,;288;万;23543;元/㎡
香溪花苑，精装3室2厅2卫，双阳台采光  ，随时看房;3室;2厅;2卫;126;㎡;南北;共5层;2011年建造;香溪花苑;吴中;木渎;木渎东街128号;南北,满二年,近地铁,;256;万;20313;元/㎡
蔚然锦绣花园太湖度假区板块;4室;2厅;2卫;128;㎡;南;;;蔚然锦绣花园;吴中;胥口;苏州太湖国家旅游度假区香山街道百艺街6号;大户型,高绿化率,;245;万;19141;元/㎡
精装修 南北通透 越湖家天下 92平 诚心出售 价格可议;3室;2厅;1卫;92;㎡;南北;高层(共22层);2016年建造;越湖家天下;吴中;城南;吴中大道99号;南北,满二年,近地铁,多人关注,;195;万;21187;元/㎡
正荣幸福城邦 精装修三房两卫 业主急售 看房随时有密码方便;3室;2厅;2卫;114;㎡;南北;中层(共33层);2015年建造;正荣幸福城邦;吴中;木渎;金枫南路699号;南北,满五年,近地铁,多人关注,;215;万;18860;元/㎡
正南 3室2厅  朗诗绿色街区 精装修;3室;2厅;2卫;142.2;㎡;南;中层(共24层);2013年建造;朗诗绿色街区;吴中;木渎;金枫路,近中环西线;南,满二年,近地铁,;275;万;19335;元/㎡
5号线地铁口270万精装修三房近狮山外国语带40平花园仅一套;3室;2厅;2卫;106;㎡;南;;;星河时代新著(新房);吴中;木渎;珠江路818号;南北通透,厨卫全明,主卧套房,轨交房,;278;万;26227;元/㎡
满五   南北通透 3室2厅  招商雍华府 精装修;3室;2厅;1卫;95.9;㎡;南北;低层(共27层);2015年建造;招商雍华府;吴中;木渎;金枫南路8号;南北,热门小区,近地铁,配套成熟,;200;万;20853;元/㎡
青苑六区大三室两厅两卫 送25平大车库房 出价就卖;3室;2厅;2卫;118;㎡;南;共5层;2000年建造;青苑新村六区;工业园;唯亭;葑亭大道;南,近地铁,房东急售,随时可看,;224;万;18984;元/㎡
满二   正南 3室2厅  正荣幸福城邦 高端装修;3室;2厅;2卫;112.3;㎡;南;高层(共33层);2016年建造;正荣幸福城邦;吴中;木渎;金枫南路699号;南,热门小区,近地铁,房东急售,;206;万;18339;元/㎡
中铁诺德国礼 吴中区精装现房 门口地铁商业配套齐全 看房接送;3室;2厅;2卫;127.3;㎡;南北;低层(共18层);2020年建造;中铁诺德国礼;吴中;木渎;花苑东路,近金枫南路;南北,满二年,近地铁,车位充足,;291;万;22860;元/㎡
木渎中心位置 总价230左右   看房方便;3室;2厅;1卫;95;㎡;南;;;江月时光(新房);吴中;木渎;苏福路与长江南路交汇处;南北通透,厨卫全明,动静分离,轨交房,;239;万;25158;元/㎡
